交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/28,TXO,201907W1,10750.0000,買權,61,67,40,48.5,20066,48.5,10541,47.5,49,73,30,,一般,
2019/06/28,TXO,201907W1,10750.0000,買權,66,71,52,56,8345,-,-,56,57,73,30,,盤後,
2019/06/28,TXO,201907W1,10750.0000,賣權,87,124,84,108,10511,108,4678,104,110,177,78,,一般,
2019/06/28,TXO,201907W1,10750.0000,賣權,83,107,79,96,3686,-,-,90,95,177,78,,盤後,
2019/06/28,TXO,201907W1,10800.0000,買權,42,44.5,25,31,19610,31,13415,30.5,31,49,18,,一般,
2019/06/28,TXO,201907W1,10800.0000,買權,45,48,33,38,7785,-,-,38,39.5,49,18,,盤後,
2019/06/28,TXO,201907W1,10800.0000,賣權,120,159,113,140,2478,140,3757,137,142,216,104,,一般,
2019/06/28,TXO,201907W1,10800.0000,賣權,111,139,106,126,1251,-,-,118,127,216,104,,盤後,
2019/06/28,TXO,201907W1,10850.0000,買權,25.5,29,15,18.5,11384,18.5,10833,18.5,19,31.5,10,,一般,
2019/06/28,TXO,201907W1,10850.0000,買權,30,31.5,20.5,25,5466,-,-,24,24.5,31.5,10,,盤後,
2019/06/28,TXO,201907W1,10850.0000,賣權,155,198,148,178,425,178,666,175,180,253,137,,一般,
2019/06/28,TXO,201907W1,10850.0000,賣權,141,174,140,159,212,-,-,150,168,253,137,,盤後,
2019/06/28,TXO,201907W1,10900.0000,買權,15,17.5,9,10.5,10445,10.5,12514,10.5,11.5,19.5,2.1,,一般,
2019/06/28,TXO,201907W1,10900.0000,買權,16,19.5,11.5,15,3180,-,-,14.5,15,19.5,2.1,,盤後,
2019/06/28,TXO,201907W1,10900.0000,賣權,196,242,190,222,322,222,187,217,223,300,175,,一般,
2019/06/28,TXO,201907W1,10900.0000,賣權,181,215,180,198,135,-,-,190,208,300,175,,盤後,
2019/06/28,TXO,201907W1,10950.0000,買權,9,10.5,5,6.6,5523,6.6,7570,6.5,6.6,12,0.2,,一般,
2019/06/28,TXO,201907W1,10950.0000,買權,10,12,7,9.9,1566,-,-,9,9.9,12,0.2,,盤後,
2019/06/28,TXO,201907W1,10950.0000,賣權,238,286,238,286,28,272,61,257,323,295,217,,一般,
2019/06/28,TXO,201907W1,10950.0000,賣權,231,261,231,238,44,-,-,237,263,295,217,,盤後,
2019/06/28,TXO,201907W1,11000.0000,買權,5.1,6.1,2.8,4,3259,4,7874,3.9,4,10,2.6,,一般,
2019/06/28,TXO,201907W1,11000.0000,買權,6.1,7.5,3.2,6,1329,-,-,5.1,6.7,10,2.6,,盤後,
2019/06/28,TXO,201907W1,11000.0000,賣權,284,329,284,322,108,322,53,259,343,406,263,,一般,
2019/06/28,TXO,201907W1,11000.0000,賣權,282,306,282,299,68,-,-,180,305,406,263,,盤後,
2019/06/28,TXO,201907W1,11050.0000,買權,3.3,3.7,1.5,2.6,4222,2.6,2920,2.1,2.5,3.7,1.5,,一般,
2019/06/28,TXO,201907W1,11050.0000,賣權,-,-,-,-,0,369,0,-,-,-,-,,一般,
2019/06/28,TXO,201907W1,11100.0000,買權,2.1,2.3,1,1.7,3324,1.7,4724,1.7,1.8,3.5,1,,一般,
2019/06/28,TXO,201907W1,11100.0000,買權,2.4,2.7,1,1.9,511,-,-,1.8,2.4,3.5,1,,盤後,
2019/06/28,TXO,201907W1,11100.0000,賣權,-,-,-,-,0,415,4,-,-,-,-,,一般,
