交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/10,TXO,201906W2,10450.0000,賣權,100,118,70,81,2856,-,-,80,82,118,43.5,,盤後,
2019/06/10,TXO,201906W2,10500.0000,買權,35,72,26.5,70,51003,70,12912,69,70,87,10,,一般,
2019/06/10,TXO,201906W2,10500.0000,買權,17,20.5,10,17,7463,-,-,16.5,18,87,10,,盤後,
2019/06/10,TXO,201906W2,10500.0000,賣權,61,67,18.5,19.5,44514,19.5,14818,19.5,20,158,18.5,,一般,
2019/06/10,TXO,201906W2,10500.0000,賣權,140,158,103,119,1203,-,-,117,123,158,60,,盤後,
2019/06/10,TXO,201906W2,10550.0000,買權,18,39,11.5,38,54588,38,16990,37.5,38,59,4.7,,一般,
2019/06/10,TXO,201906W2,10550.0000,買權,8.3,9.9,4.7,8.8,3554,-,-,8.6,9.2,59,4.7,,盤後,
2019/06/10,TXO,201906W2,10550.0000,賣權,82,102,35.5,37.5,32858,37.5,12449,37,37.5,200,35.5,,一般,
2019/06/10,TXO,201906W2,10550.0000,賣權,179,200,147,152,188,-,-,151,190,200,83,,盤後,
2019/06/10,TXO,201906W2,10600.0000,買權,9,18,4.7,16.5,35024,16.5,21139,16.5,17,38,2.4,,一般,
2019/06/10,TXO,201906W2,10600.0000,買權,4,5.4,2.4,4.4,1928,-,-,4.3,5.4,38,2.4,,盤後,
2019/06/10,TXO,201906W2,10600.0000,賣權,122,145,64,67,17007,67,5497,65,67,249,64,,一般,
2019/06/10,TXO,201906W2,10600.0000,賣權,225,249,193,193,76,-,-,164,240,249,113,,盤後,
2019/06/10,TXO,201906W2,10650.0000,買權,5,6.9,2,6.4,15378,6.4,9872,6.1,6.4,22.5,1.5,,一般,
2019/06/10,TXO,201906W2,10650.0000,買權,2.5,3.9,1.5,3.6,952,-,-,3.5,3.7,22.5,1.5,,盤後,
2019/06/10,TXO,201906W2,10650.0000,賣權,172,192,103,106,2336,106,1022,105,107,289,103,,一般,
2019/06/10,TXO,201906W2,10650.0000,賣權,261,289,260,260,47,-,-,68,299,289,152,,盤後,
2019/06/10,TXO,201906W2,10700.0000,買權,2.9,2.9,1.1,2.3,6388,2.3,10239,2.1,2.4,13,0.5,,一般,
2019/06/10,TXO,201906W2,10700.0000,買權,6,6,0.5,1.4,505,-,-,0.6,1.4,13,0.5,,盤後,
2019/06/10,TXO,201906W2,10700.0000,賣權,226,240,150,153,547,153,184,151,155,318,150,,一般,
2019/06/10,TXO,201906W2,10700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/10,TXO,201906W2,10750.0000,買權,0.9,1.4,0.6,1,1520,1,2914,0.5,1,2.8,0.5,,一般,
2019/06/10,TXO,201906W2,10750.0000,買權,0.6,1,0.5,0.7,214,-,-,0.6,0.7,2.8,0.5,,盤後,
2019/06/10,TXO,201906W2,10750.0000,賣權,282,282,198,200,149,200,110,199,204,282,198,,一般,
2019/06/10,TXO,201906W2,10750.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/10,TXO,201906W2,10800.0000,買權,0.8,0.9,0.4,0.4,642,0.4,3780,0.4,0.7,4.3,0.2,,一般,
2019/06/10,TXO,201906W2,10800.0000,買權,0.7,0.7,0.2,0.5,184,-,-,0.3,0.5,4.3,0.2,,盤後,
2019/06/10,TXO,201906W2,10800.0000,賣權,263,263,257,257,2,250,11,195,305,405,257,,一般,
2019/06/10,TXO,201906W2,10800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/10,TXO,201906W2,10900.0000,買權,0.4,0.4,0.2,0.3,1132,0.3,5962,-,0.4,2.2,0.2,,一般,
2019/06/10,TXO,201906W2,10900.0000,買權,0.3,0.3,0.3,0.3,1,-,-,0.3,0.5,2.2,0.3,,盤後,
2019/06/10,TXO,201906W2,10900.0000,賣權,-,-,-,-,0,350,2,-,-,-,-,,一般,
2019/06/10,TXO,201906W2,10900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/10,TXO,201906W2,11000.0000,買權,0.3,0.3,0.1,0.2,38,0.2,2985,0.1,0.2,1.5,0.1,,一般,
