交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/6/6,TXO,201906,7600,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,7600,賣權,0.3,0.3,0.2,0.2,6,0.2,3712,0.1,4.4,127,0.2,,一般
2019/6/6,TXO,201906,7600,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,7800,買權,-,-,-,-,0,2560,24,-,-,-,-,,一般
2019/6/6,TXO,201906,7800,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,7800,賣權,0.4,0.4,0.2,0.2,11,0.2,2966,-,0.8,180,0.2,,一般
2019/6/6,TXO,201906,7800,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,8000,買權,-,-,-,-,0,2360,17,-,-,-,-,,一般
2019/6/6,TXO,201906,8000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,8000,賣權,0.4,0.4,0.2,0.2,953,0.2,4114,0.2,0.9,177,0.1,,一般
2019/6/6,TXO,201906,8000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,8200,買權,-,-,-,-,0,2160,18,-,-,-,-,,一般
2019/6/6,TXO,201906,8200,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,8200,賣權,0.6,0.6,0.4,0.4,36,0.4,3268,0.2,1,212,0.4,,一般
2019/6/6,TXO,201906,8200,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,8400,買權,-,-,-,-,0,1970,19,-,-,-,-,,一般
2019/6/6,TXO,201906,8400,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,8400,賣權,0.8,0.8,0.5,0.5,52,0.5,3368,-,1,299,0.5,,一般
2019/6/6,TXO,201906,8400,賣權,1,1,1,1,1,-,-,0.4,6.9,299,1,,盤後
2019/6/6,TXO,201906,8600,買權,-,-,-,-,0,1770,93,-,-,-,-,,一般
2019/6/6,TXO,201906,8600,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,8600,賣權,1.1,1.1,0.8,0.8,129,0.8,4373,-,50,381,0.8,,一般
2019/6/6,TXO,201906,8600,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,8700,買權,-,-,-,-,0,1670,0,-,-,-,-,,一般
2019/6/6,TXO,201906,8700,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,8700,賣權,1,1,0.9,0.9,26,0.9,554,-,105,4.3,0.9,,一般
2019/6/6,TXO,201906,8700,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,8800,買權,-,-,-,-,0,1570,58,-,-,-,-,,一般
2019/6/6,TXO,201906,8800,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,8800,賣權,1.2,1.2,1,1,162,1,5300,-,2.5,361,1,,一般
2019/6/6,TXO,201906,8800,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,8900,買權,-,-,-,-,0,1470,0,-,-,-,-,,一般
2019/6/6,TXO,201906,8900,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,8900,賣權,1.9,1.9,1.2,1.3,58,1.3,1942,0.1,2,23,1.2,,一般
2019/6/6,TXO,201906,8900,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,9000,買權,-,-,-,-,0,1370,48,-,-,-,-,,一般
2019/6/6,TXO,201906,9000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,9000,賣權,2.3,2.3,1.6,1.6,818,1.6,8073,1.2,1.8,431,1.2,,一般
2019/6/6,TXO,201906,9000,賣權,2.4,2.4,1.2,1.2,21,-,-,0.9,4.9,431,1.2,,盤後
2019/6/6,TXO,201906,9100,買權,-,-,-,-,0,1270,22,-,-,-,-,,一般
2019/6/6,TXO,201906,9100,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,9100,賣權,2.7,2.7,1.8,1.8,794,1.8,1629,0.6,2.3,29,1.8,,一般
2019/6/6,TXO,201906,9100,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,9200,買權,-,-,-,-,0,1170,287,-,-,-,-,,一般
2019/6/6,TXO,201906,9200,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,9200,賣權,3,3.3,2.1,2.1,1377,2.1,6280,0.7,2.2,470,2.1,,一般
2019/6/6,TXO,201906,9200,賣權,3.2,3.2,2.7,2.7,266,-,-,3,3.2,470,2.7,,盤後
2019/6/6,TXO,201906,9300,買權,-,-,-,-,0,1070,17,-,-,-,-,,一般
2019/6/6,TXO,201906,9300,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,9300,賣權,3.8,3.9,2.5,2.9,456,2.9,5421,0.6,3.2,33,2.5,,一般
2019/6/6,TXO,201906,9300,賣權,3.7,3.8,3.5,3.7,66,-,-,3,3.7,33,3,,盤後
2019/6/6,TXO,201906,9400,買權,-,-,-,-,0,970,88,-,-,-,-,,一般
2019/6/6,TXO,201906,9400,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,9400,賣權,4.2,4.9,3.1,3.4,1101,3.4,7125,3,4,580,2.8,,一般
2019/6/6,TXO,201906,9400,賣權,4.3,4.6,2.8,4.1,52,-,-,3.3,4.4,580,2.8,,盤後
2019/6/6,TXO,201906,9500,買權,-,-,-,-,0,870,60,-,-,-,-,,一般
2019/6/6,TXO,201906,9500,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,9500,賣權,5.3,6.1,4,4.6,1647,4.6,3775,2,4.7,48,3,,一般
2019/6/6,TXO,201906,9500,賣權,5.4,5.4,4.9,5.3,86,-,-,3.3,5.3,48,3,,盤後
2019/6/6,TXO,201906,9600,買權,800,800,775,790,23,770,213,710,820,1420,304,,一般
2019/6/6,TXO,201906,9600,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,9600,賣權,6.7,7.8,5,5.5,1768,5.5,6818,5.4,6.4,680,5,,一般
2019/6/6,TXO,201906,9600,賣權,6.5,6.7,6.2,6.5,53,-,-,5.3,6.7,680,5,,盤後
2019/6/6,TXO,201906,9700,買權,-,-,-,-,0,670,80,-,-,-,-,,一般
2019/6/6,TXO,201906,9700,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,9700,賣權,8,10,6.6,7.4,2037,7.4,8518,6.9,8.5,76,5,,一般
2019/6/6,TXO,201906,9700,賣權,8.1,8.3,7,7.5,150,-,-,7.2,7.6,76,5,,盤後
2019/6/6,TXO,201906,9800,買權,595,595,570,570,3,570,349,515,575,1250,220,,一般
2019/6/6,TXO,201906,9800,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,9800,賣權,9.9,14,9.1,10.5,4593,10.5,15720,10.5,11,790,8.4,,一般
2019/6/6,TXO,201906,9800,賣權,11,11,9.7,10,369,-,-,9.8,10.5,790,8.4,,盤後
2019/6/6,TXO,201906,9900,買權,495,505,475,480,32,480,225,474,479,1090,389,,一般
2019/6/6,TXO,201906,9900,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,9900,賣權,14,19,12.5,15,3009,15,12032,15,15.5,108,10.5,,一般
2019/6/6,TXO,201906,9900,賣權,14.5,15.5,12.5,14,258,-,-,13,14,108,10.5,,盤後
2019/6/6,TXO,201906,10000,買權,440,440,380,389,128,389,971,380,386,1140,160,,一般
2019/6/6,TXO,201906,10000,買權,469,480,437,448,11,-,-,435,470,1140,160,,盤後
2019/6/6,TXO,201906,10000,賣權,20,28,19,22,5240,22,16643,21.5,22,925,13,,一般
2019/6/6,TXO,201906,10000,賣權,20,22,17,20,1106,-,-,19,20.5,925,13,,盤後
2019/6/6,TXO,201906,10100,買權,361,362,290,302,370,302,1345,291,297,815,228,,一般
2019/6/6,TXO,201906,10100,買權,371,390,341,368,48,-,-,341,377,815,228,,盤後
2019/6/6,TXO,201906,10100,賣權,28.5,41,28,33,5676,33,16239,33,33.5,153,15.5,,一般
2019/6/6,TXO,201906,10100,賣權,28,32,25,27,1038,-,-,27,28,153,15.5,,盤後
2019/6/6,TXO,201906,10200,買權,277,277,208,213,709,213,1849,210,215,930,118,,一般
2019/6/6,TXO,201906,10200,買權,288,304,261,267,120,-,-,260,293,930,118,,盤後
2019/6/6,TXO,201906,10200,賣權,42,60,42,52,8579,52,21953,51,53,980,18.5,,一般
2019/6/6,TXO,201906,10200,賣權,42,48,37.5,41,1555,-,-,40.5,41.5,980,18.5,,盤後
2019/6/6,TXO,201906,10300,買權,199,199,138,140,2542,140,2910,139,145,670,104,,一般
2019/6/6,TXO,201906,10300,買權,209,224,183,210,204,-,-,188,220,670,104,,盤後
2019/6/6,TXO,201906,10300,賣權,63,90,63,80,7796,80,18038,78,80,210,22,,一般
2019/6/6,TXO,201906,10300,賣權,63,73,55,63,1867,-,-,63,65,210,22,,盤後
2019/6/6,TXO,201906,10400,買權,129,129,81,82,7971,82,7192,84,85,770,69,,一般
2019/6/6,TXO,201906,10400,買權,138,153,117,142,1077,-,-,140,142,770,69,,盤後
2019/6/6,TXO,201906,10400,賣權,97,133,95,121,8637,121,10709,122,124,1130,22,,一般
2019/6/6,TXO,201906,10400,賣權,93,110,83,93,1588,-,-,93,96,1130,22,,盤後
2019/6/6,TXO,201906,10500,買權,79,79,43.5,45,13482,45,16382,44,46,660,40,,一般
2019/6/6,TXO,201906,10500,買權,86,94,70,87,3400,-,-,85,88,660,40,,盤後
2019/6/6,TXO,201906,10500,賣權,142,194,142,182,3138,182,13457,181,185,322,34.5,,一般
2019/6/6,TXO,201906,10500,賣權,138,163,125,138,976,-,-,137,140,322,34.5,,盤後
2019/6/6,TXO,201906,10600,買權,43,43,20.5,21.5,14951,21.5,25923,21.5,22,645,20.5,,一般
2019/6/6,TXO,201906,10600,買權,49,52,38,46,3739,-,-,45.5,46,645,24.5,,盤後
2019/6/6,TXO,201906,10600,賣權,209,269,209,258,956,258,5241,257,263,1320,44,,一般
2019/6/6,TXO,201906,10600,賣權,200,231,184,199,256,-,-,195,225,1320,44,,盤後
2019/6/6,TXO,201906,10700,買權,20,20,9.7,10,12526,10,22868,10,10.5,467,9.7,,一般
2019/6/6,TXO,201906,10700,買權,23,26,18.5,22,3045,-,-,22,23,467,13.5,,盤後
2019/6/6,TXO,201906,10700,賣權,300,355,300,339,317,346,5211,346,354,482,56,,一般
2019/6/6,TXO,201906,10700,賣權,276,311,258,282,125,-,-,272,308,482,56,,盤後
2019/6/6,TXO,201906,10800,買權,10,10,4.8,5.3,6713,5.3,22241,4.8,6,535,4.8,,一般
2019/6/6,TXO,201906,10800,買權,11.5,12.5,9.2,10,1233,-,-,9.8,10,535,8.1,,盤後
2019/6/6,TXO,201906,10800,賣權,381,453,381,434,165,441,5339,441,448,1580,70,,一般
2019/6/6,TXO,201906,10800,賣權,364,397,346,381,53,-,-,335,395,1580,70,,盤後
2019/6/6,TXO,201906,10900,買權,4.7,4.8,2.8,3,2973,3,16131,2.9,3,315,2.8,,一般
2019/6/6,TXO,201906,10900,買權,6,7,5,5.7,528,-,-,5.1,5.9,315,4.5,,盤後
2019/6/6,TXO,201906,10900,賣權,473,545,473,535,11,540,11145,535,560,675,93,,一般
2019/6/6,TXO,201906,10900,賣權,462,485,461,482,7,-,-,402,1480,675,93,,盤後
2019/6/6,TXO,201906,11000,買權,2.7,2.7,1.8,1.9,2695,1.9,13635,1.8,1.9,430,1.8,,一般
2019/6/6,TXO,201906,11000,買權,4,4,3.2,3.8,369,-,-,3.1,3.9,430,2.9,,盤後
2019/6/6,TXO,201906,11000,賣權,600,635,600,635,6,640,1229,585,645,1440,123,,一般
2019/6/6,TXO,201906,11000,賣權,535,580,535,580,5,-,-,425,600,1440,123,,盤後
2019/6/6,TXO,201906,11100,買權,1.7,1.9,1.2,1.4,267,1.4,12193,1.4,1.5,193,1.2,,一般
2019/6/6,TXO,201906,11100,買權,2.2,2.3,2.1,2.2,208,-,-,2.1,2.6,193,2,,盤後
2019/6/6,TXO,201906,11100,賣權,715,735,715,735,4,740,768,685,745,820,160,,一般
2019/6/6,TXO,201906,11100,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,11200,買權,1.6,1.6,0.9,1.2,183,1.2,10111,1,1.3,333,0.9,,一般
2019/6/6,TXO,201906,11200,買權,1.9,2.3,1.5,2.3,5,-,-,1.6,2,333,1.3,,盤後
2019/6/6,TXO,201906,11200,賣權,-,-,-,-,0,840,330,-,-,-,-,,一般
2019/6/6,TXO,201906,11200,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,11300,買權,0.9,1,0.8,0.9,203,0.9,7277,0.9,1.1,96,0.8,,一般
2019/6/6,TXO,201906,11300,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,11300,賣權,-,-,-,-,0,940,1303,-,-,-,-,,一般
2019/6/6,TXO,201906,11300,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,11400,買權,0.7,0.9,0.7,0.8,117,0.8,12529,0.8,0.9,257,0.7,,一般
2019/6/6,TXO,201906,11400,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,11400,賣權,-,-,-,-,0,1040,1138,-,-,-,-,,一般
2019/6/6,TXO,201906,11400,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,11500,買權,0.7,0.8,0.6,0.8,222,0.8,10863,-,0.8,45,0.6,,一般
2019/6/6,TXO,201906,11500,買權,1.1,1.1,0.9,0.9,10,-,-,0.8,1.1,45,0.6,,盤後
2019/6/6,TXO,201906,11500,賣權,-,-,-,-,0,1140,1498,-,-,-,-,,一般
2019/6/6,TXO,201906,11500,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,11600,買權,0.8,0.8,0.6,0.7,6,0.7,5564,-,0.7,190,0.3,,一般
2019/6/6,TXO,201906,11600,買權,1,3,1,3,2,-,-,0.8,2.9,190,0.3,,盤後
2019/6/6,TXO,201906,11600,賣權,-,-,-,-,0,1240,48,-,-,-,-,,一般
2019/6/6,TXO,201906,11600,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,11700,買權,0.6,0.6,0.5,0.5,21,0.5,3500,-,0.6,19.5,0.2,,一般
2019/6/6,TXO,201906,11700,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,11700,賣權,-,-,-,-,0,1340,2,-,-,-,-,,一般
2019/6/6,TXO,201906,11700,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,11800,買權,0.5,0.5,0.5,0.5,2,0.5,2811,0.1,0.5,141,0.1,,一般
2019/6/6,TXO,201906,11800,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,11800,賣權,-,-,-,-,0,1440,42,-,-,-,-,,一般
2019/6/6,TXO,201906,11800,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,11900,買權,-,-,-,-,0,0.4,2737,-,-,-,-,,一般
2019/6/6,TXO,201906,11900,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,11900,賣權,-,-,-,-,0,1530,1,-,-,-,-,,一般
2019/6/6,TXO,201906,11900,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,12000,買權,0.3,0.3,0.3,0.3,50,0.3,2478,-,0.4,102,0.2,,一般
2019/6/6,TXO,201906,12000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/6,TXO,201906,12000,賣權,-,-,-,-,0,1630,2,-,-,-,-,,一般
2019/6/6,TXO,201906,12000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
