37	T0	20180823	20180824	0APDC100	1440	1340.07	1435.0035	1429.30749	0.95	0.94	24	2018/8/24 下午 01:17:19	2278	105.8824	34
38	T0	20180823	20180824	0APDC200	1064.91	685.68	1043.7825	1022.29635	0.95	0.94	24	2018/8/24 下午 01:17:19	1054	105.8824	34
39	T0	20180823	20180824	0APVD100	1439.35	661.68	1377.1364	1319.899888	0.92	0.92	24	2018/8/24 下午 01:17:19	367	32.7062	110.071
40	T0	20180823	20180824	0APVD200	1440	422.57	1358.6056	1283.722752	0.92	0.92	24	2018/8/24 下午 01:17:19	127	31.0345	116
41	T0	20180823	20180824	0APVD300	1440	802.85	1389.028	1342.13376	0.92	0.92	24	2018/8/24 下午 01:17:19	401	31.0345	116
42	T0	20180823	20180824	0APVD400	1408.48	411.48	1368.6	1292.0304	0.96	0.92	24	2018/8/24 下午 01:17:19	199	33.9221	106.1256
43	T0	20180823	20180824	0APVD500	1440	737.63	1383.8104	1332.115968	0.92	0.92	24	2018/8/24 下午 01:17:19	394	34.2857	105
44	T0	20180823	20180824	0APVD600	1440	1089.47	1411.9576	1386.158592	0.92	0.92	24	2018/8/24 下午 01:17:19	622	34.2857	105
45	T0	20180823	20180824	0APVD700	1440	826.37	1378.637	1334.45564	0.9	0.92	24	2018/8/24 下午 01:17:19	369	34.2857	105
46	T0	20180823	20180824	0ASTR100	1440	1170.52	1426.526	1418.84582	0.95	0.97	24	2018/8/24 下午 01:17:19	1577	85.7143	42
47	T0	20180823	20180824	0ASTR200	1440	1191.77	1427.5885	1420.513945	0.95	0.97	24	2018/8/24 下午 01:17:19	1485	85.7143	42
48	T0	20180823	20180824	0ASTR300	1440	1242.12	1430.106	1424.46642	0.95	0.97	24	2018/8/24 下午 01:17:19	1770	85.7143	42
49	T0	20180823	20180824	0ASTR400	1440	967.07	1416.3535	1402.874995	0.95	0.97	24	2018/8/24 下午 01:17:19	1248	85.7143	42
50	T0	20180823	20180824	0ASTR500	1314.26	1183.78	1307.736	1304.01732	0.95	0.97	24	2018/8/24 下午 01:17:19	1650	85.7143	42
51	T0	20180823	20180824	0ATES100	1440	1220.55	1426.833	1416.51885	0.94	0.95	24	2018/8/24 下午 01:17:19	439	26.9241	133.709
52	T0	20180823	20180824	0ATES200	1439.04	1257.82	1428.1668	1419.64946	0.94	0.95	24	2018/8/24 下午 01:17:19	369	16.2896	221
53	T0	20180823	20180824	0ATES300	1420.23	1363.95	1416.8532	1414.20804	0.94	0.95	24	2018/8/24 下午 01:17:19	470	19.7802	182
54	T0	20180823	20180824	0AWET100	1407.32	751.25	1344.599708	1308.99872552	0.9044	0.94	24	2018/8/24 下午 01:17:19	777	62.568	57.5374
55	T0	20180823	20180824	0AWET200	1438.73	945.78	1401.46298	1365.0083416	0.9244	0.92	24	2018/8/24 下午 01:17:19	786	58.5743	61.4604
56	T0	20180823	20180824	0AWET300	1298.95	936.43	1267.918288	1241.39922496	0.9144	0.92	24	2018/8/24 下午 01:17:19	459	31.4564	114.444
57	T0	20180823	20180824	0AWET400	1397.8	960.42	1372.606912	1347.87569728	0.9424	0.94	24	2018/8/24 下午 01:17:19	1063	81.4675	44.1894
58	T0	20180823	20180824	0AWET600	1435.5	402.3	1305.73008	971.4609504	0.8744	0.63	24	2018/8/24 下午 01:17:19	163	40	90
59	T1	20180823	20180824	1AANO100	1407.63	1403.63	1407.51	1407.316	0.97	0.95	24	2018/8/24 下午 01:17:19	827	48.6486	74
60	T1	20180823	20180824	1AANO200	1440	1440	1440	1440	0.97	0.95	24	2018/8/24 下午 01:17:19	641	48.6486	74
61	T1	20180823	20180824	1AANO300	1431.93	1226.58	1321.9795	1317.209525	0.97	0.95	24	2018/8/24 下午 01:17:19	418	19.6721	183
62	T1	20180823	20180824	1AANO400	1440	1388.92	1438.4676	1435.99022	0.97	0.95	24	2018/8/24 下午 01:17:19	992	75	48
63	T1	20180823	20180824	1ACVD100	1317.83	1317.3	1317.777	1317.75315	0.9	0.95	24	2018/8/24 下午 01:17:19	926	39.8005	90.4512
64	T1	20180823	20180824	1ACVD200	1424.09	843.57	1342.8172	1317.85484	0.86	0.95	24	2018/8/24 下午 01:17:19	477	42.6961	84.3168
65	T1	20180823	20180824	1ACVD300	1440	9.42	1239.7188	1178.20386	0.86	0.95	24	2018/8/24 下午 01:17:19	0	0	0
66	T1	20180823	20180824	1ACVD400	1440	1246.3	1420.63	1411.9135	0.9	0.95	24	2018/8/24 下午 01:17:19	637	44.3366	81.1971
67	T1	20180823	20180824	1ACVD700	1377.01	746.3	1288.1258	1261.03451	0.86	0.95	24	2018/8/24 下午 01:17:19	449	43.0629	83.5986
68	T1	20180823	20180824	1ACVD800	1427.59	1133	1315.178	1306.0691	0.9	0.95	24	2018/8/24 下午 01:17:19	897	52.141	69.0435
69	T1	20180823	20180824	1ADET100	1440	906.43	1413.3215	1387.976925	0.95	0.95	24	2018/8/24 下午 01:17:19	168	56.25	64
70	T1	20180823	20180824	1ADET200	1397.45	921.78	1373.6665	1351.072175	0.95	0.95	24	2018/8/24 下午 01:17:19	598	83.7209	43
71	T1	20180823	20180824	1ADET300	1426.07	1325.52	1421.0425	1416.266375	0.95	0.95	24	2018/8/24 下午 01:17:19	1489	83.3964	43.1673
72	T1	20180823	20180824	1ADET400	1440	1311.83	1429.7464	1425.029744	0.92	0.96	24	2018/8/24 下午 01:17:19	912	65.1952	55.2188
73	T1	20180823	20180824	1ADET500	1421.8	949.88	1384.0464	1366.679744	0.92	0.96	24	2018/8/24 下午 01:17:19	877	66.6458	54.0169
74	T1	20180823	20180824	1ADET600	1440	485.68	1392.284	1346.9538	0.95	0.95	24	2018/8/24 下午 01:17:19	434	56.25	64
75	T1	20180823	20180824	1AINC300	1429.52	1167.27	1413.785	1396.52895	0.94	0.93	24	2018/8/24 下午 01:17:19	1773	120	30
76	T1	20180823	20180824	1APDC100	1440	1153.6	1408.528	1388.13376	0.94	0.92	24	2018/8/24 下午 01:17:19	1494	94.7368	38
77	T1	20180823	20180824	1APDC200	1440	1185.83	1397.612	1380.66944	0.94	0.92	24	2018/8/24 下午 01:17:19	1442	94.7368	38
